                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 0.9576,                0.80509,                 1.1405,                0.50273,                0.48136,                0.45798,                0.30145,                 1.2647,                 1.5264,                 1.3689,              0.0063511,              0.0063511,              0.0063511
                    131,                0.93278,                0.78467,                 1.1361,                0.50993,                0.45466,                0.45023,                0.29879,                 1.2652,                 1.5607,                 1.3801,              0.0063229,              0.0063229,              0.0063229
                    132,                 0.9718,                0.79944,                 1.1469,                0.49382,                0.44826,                0.44138,                0.29394,                 1.2627,                 1.5662,                  1.362,              0.0062946,              0.0062946,              0.0062946
                    133,                0.96012,                0.78276,                 1.1439,                0.53203,                0.45078,                0.44762,                0.29673,                 1.2565,                 1.5381,                  1.376,              0.0062663,              0.0062663,              0.0062663
                    134,                0.95125,                0.78751,                 1.1398,                0.51949,                0.44198,                0.44804,                0.29712,                 1.2605,                 1.5386,                 1.3658,               0.006238,               0.006238,               0.006238
                    135,                0.93205,                0.76613,                 1.1317,                0.52095,                0.43508,                0.44518,                0.29866,                 1.2635,                 1.5253,                 1.3689,              0.0062097,              0.0062097,              0.0062097
                    136,                0.93295,                0.77839,                 1.1354,                0.49866,                0.47088,                0.45408,                0.30017,                 1.2679,                 1.5176,                 1.3728,              0.0061814,              0.0061814,              0.0061814
                    137,                0.94921,                0.77363,                 1.1418,                0.50914,                 0.4493,                0.44896,                0.30126,                 1.2498,                 1.5422,                 1.3612,              0.0061531,              0.0061531,              0.0061531
                    138,                0.92582,                0.76988,                 1.1275,                0.50811,                0.45371,                0.45216,                0.29399,                  1.264,                 1.5363,                 1.3794,              0.0061249,              0.0061249,              0.0061249
                    139,                0.93857,                0.77657,                 1.1366,                0.50841,                0.45622,                0.45514,                0.30393,                 1.2622,                 1.5531,                 1.3694,              0.0060966,              0.0060966,              0.0060966
                    140,                0.94555,                0.79481,                 1.1386,                0.51391,                0.44557,                 0.4481,                0.29857,                 1.2676,                 1.5358,                 1.3779,              0.0060683,              0.0060683,              0.0060683
                    141,                0.96476,                 0.7831,                 1.1426,                0.52712,                0.45245,                0.45159,                0.30123,                 1.2719,                 1.5258,                 1.3865,                0.00604,                0.00604,                0.00604
                    142,                 0.9441,                0.77334,                 1.1285,                0.53698,                0.44784,                0.45229,                0.30081,                 1.2672,                 1.5382,                 1.3722,              0.0060117,              0.0060117,              0.0060117
                    143,                0.93723,                0.76586,                 1.1314,                0.52159,                0.46628,                0.45976,                0.30453,                 1.2668,                 1.5103,                 1.3735,              0.0059834,              0.0059834,              0.0059834
                    144,                0.94098,                0.75908,                 1.1311,                0.51255,                0.46795,                0.44646,                0.29555,                 1.2676,                 1.5622,                 1.3813,              0.0059551,              0.0059551,              0.0059551
                    145,                0.92589,                0.76014,                 1.1294,                 0.5077,                0.47172,                0.44407,                0.29518,                  1.268,                 1.5526,                 1.3834,              0.0059269,              0.0059269,              0.0059269
                    146,                0.94951,                0.75556,                  1.135,                 0.5351,                 0.4491,                0.45076,                0.29866,                 1.2786,                 1.5312,                 1.3867,              0.0058986,              0.0058986,              0.0058986
